id;first_name;last_name;email;phone;hire_date;salary;active
1;Kiana;Robel;"QnS;FD@}.kvNqi";1-372-453-8288;2025-10-24T02:33:20;11099.8;true
2;Victor;Buckridge;"iZpa@>.bR";428.481.6379 x208;2025-10-24T07:33:29;25225.04;false
3;Tressa;Kessler;"UC-^@WkCr..~mQ";(346) 794-6350 x299;2025-10-24T05:39:37;13611.48;false
4;Bennie;Schamberger;"2BR@4i9.1";1-645-349-7870;2025-10-24T08:47:26;4590.06;false
5;Muriel;Trantow-Turner;"8Y5<Uu@t;bU\.K#";1-950-231-2484 x401;2025-10-24T07:13:49;5534.08;true
6;Ariane;Ritchie;"]K2Q@%?K.7r";801.463.0545 x924;2025-10-23T22:04:58;1320.36;true
7;Hilbert;Crooks;"Jp@N^+I.Z#-^";818.415.5542;2025-10-24T14:32:12;28071.25;true
8;Caesar;Powlowski;"N2t@(f3,..?;&4c";626-648-8179 x49259;2025-10-24T20:01:53;29320.11;true
9;Sean;Barton;"mD6@Kg&)B.K2`^cu";385-364-2480 x04244;2025-10-23T22:17:22;27922.73;true
10;Ned;Padberg;"r6@4<2e.]/M,[";(760) 658-2998;2025-10-24T01:12:55;20657.48;false
